case_id,window_id,cycle_id,split,evidence_role,axis,order,c0_real,c0_imag,c_cos_real,c_cos_imag,c_sin_real,c_sin_imag,amplitude,phase,complex_coefficient_real,complex_coefficient_imag,residual_vector_rms,interpolation_rmse,extrapolated_grid_fraction,angle_points,valid
C09_S2_boundary,C09_S2_boundary__steady,3,validation,ENGINEERING_PRIMARY,dq_negative,6,-4.32071797068536e-06,3.92833961796743e-06,0.0147098798984072,-0.0102644446464439,0.00585411871548216,-0.00107822760487082,0.0163925383437824,-0.272401044657875,0.015788107503278,-0.00441032593096169,0.00774704435666724,0.00116932304620719,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,3,validation,ENGINEERING_PRIMARY,d,12,-4.32071797068536e-06,0,0.0113467123494938,0,-0.00861265629439208,0,0.0142452002298138,0.649264318784568,0.0113467123494938,0.00861265629439208,0.00774704435666724,0.00116932304620719,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,3,validation,ENGINEERING_PRIMARY,q,12,3.92833961796743e-06,0,-0.00853304574679697,0,0.00550154582075259,0,0.0101528260171624,-2.56892818705903,-0.00853304574679697,-0.00550154582075259,0.00774704435666724,0.00116932304620719,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,3,validation,ENGINEERING_PRIMARY,dq_positive,12,-4.32071797068536e-06,3.92833961796743e-06,0.0113467123494938,-0.00853304574679697,-0.00861265629439208,0.00550154582075259,0.0168484462550872,0.00472511486405543,0.0168482581702464,7.96105475951055e-05,0.00774704435666724,0.00116932304620719,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,3,validation,ENGINEERING_PRIMARY,dq_negative,12,-4.32071797068536e-06,3.92833961796743e-06,0.0113467123494938,-0.00853304574679697,-0.00861265629439208,0.00550154582075259,0.0181146645079049,-1.24224102268264,0.00584516652874122,-0.0171457020411891,0.00774704435666724,0.00116932304620719,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,4,validation,ENGINEERING_PRIMARY,d,6,-4.32071793780354e-06,0,0.0147098798984463,0,0.00585411871575291,0,0.0158319699521204,-0.378756785271593,0.0147098798984463,-0.00585411871575291,0.00774704435661293,0.00116932304618533,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,4,validation,ENGINEERING_PRIMARY,q,6,3.92833961205573e-06,0,-0.010264444646438,0,-0.00107822760502645,0,0.0103209204370555,3.03693158158883,-0.010264444646438,0.00107822760502645,0.00774704435661293,0.00116932304618533,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,4,validation,ENGINEERING_PRIMARY,dq_positive,6,-4.32071793780354e-06,3.92833961205573e-06,0.0147098798984463,-0.010264444646438,0.00585411871575291,-0.00107822760502645,0.0211099509499587,-0.868797308709953,0.0136316522934199,-0.0161185633621909,0.00774704435661293,0.00116932304618533,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,4,validation,ENGINEERING_PRIMARY,dq_negative,6,-4.32071793780354e-06,3.92833961205573e-06,0.0147098798984463,-0.010264444646438,0.00585411871575291,-0.00107822760502645,0.0163925383438956,-0.272401044638426,0.0157881075034728,-0.00441032593068507,0.00774704435661293,0.00116932304618533,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,4,validation,ENGINEERING_PRIMARY,d,12,-4.32071793780354e-06,0,0.0113467123495094,0,-0.00861265629432512,0,0.0142452002297857,0.649264318780162,0.0113467123495094,0.00861265629432512,0.00774704435661293,0.00116932304618533,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,4,validation,ENGINEERING_PRIMARY,q,12,3.92833961205573e-06,0,-0.00853304574668025,0,0.00550154582060478,0,0.0101528260169842,-2.56892818706504,-0.00853304574668025,-0.00550154582060478,0.00774704435661293,0.00116932304618533,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,4,validation,ENGINEERING_PRIMARY,dq_positive,12,-4.32071793780354e-06,3.92833961205573e-06,0.0113467123495094,-0.00853304574668025,-0.00861265629432512,0.00550154582060478,0.0168484462549552,0.0047251148670462,0.0168482581701142,7.96105476448712e-05,0.00774704435661293,0.00116932304618533,0.01171875,256,1
C09_S2_boundary,C09_S2_boundary__steady,4,validation,ENGINEERING_PRIMARY,dq_negative,12,-4.32071793780354e-06,3.92833961205573e-06,0.0113467123495094,-0.00853304574668025,-0.00861265629432512,0.00550154582060478,0.0181146645077838,-1.24224102267083,0.00584516652890462,-0.0171457020410054,0.00774704435661293,0.00116932304618533,0.01171875,256,1
