case_id,evidence_role,axis,order,cycle_count,calibration_cycle_count,validation_cycle_count,mean_speed,frequency_hz,amplitude_mean,amplitude_std,amplitude_cv,circular_mean_phase,phase_resultant_R,peak_snr_db,calibration_amplitude,validation_amplitude,validation_to_calibration_amplitude_ratio,validation_phase_shift,held_out_repeatable,snr_pass,cv_pass,phase_pass,stable_periodic_component
P03_Lq_minus10,ENGINEERING_PRIMARY,d,12,3,1,2,300,719.999999999998,0.00425174425548613,0.000234736072638024,0.0552093584498029,0.207155780546953,0.997581306316577,17.1315729515807,0.00444520298455144,0.00415501489095347,0.934718820578844,0.029678247233384,1,1,1,1,1
P03_Lq_minus10,ENGINEERING_PRIMARY,q,12,3,1,2,300,719.999999999998,0.0070914297377351,0.000609240890614959,0.0859122790673721,2.10088550929227,0.998843387726424,17.6878292420086,0.00740259593801572,0.00693584663759479,0.936947889047414,0.0402036675879458,1,1,1,1,1
P03_Lq_minus10,ENGINEERING_PRIMARY,dq_positive,12,3,1,2,300,719.999999999998,0.00334729306069462,0.000477829286898497,0.142750956738559,-2.19509339504486,0.998510504076374,17.5345297930886,0.00350454281877988,0.003268668181652,0.932694605452132,0.0538152259490838,1,1,1,1,1
P03_Lq_minus10,ENGINEERING_PRIMARY,dq_negative,12,3,1,2,300,719.999999999998,0.0112032510423547,0.000803453692105377,0.0717161196395461,-0.409435728065492,0.998569177886842,17.5345297930886,0.011697636172412,0.010956058477326,0.936604482806964,0.0359579059733199,1,1,1,1,1
P04_Lq_plus10,ENGINEERING_PRIMARY,d,6,3,1,2,300,359.999999999999,0.01079254323259,0.000486084059801132,0.0450388800235069,0.00348169042007471,0.991435046904134,19.6034021794588,0.0113310790080928,0.0105232753448386,0.928709025620836,0.27691444813069,1,1,1,1,1
P04_Lq_plus10,ENGINEERING_PRIMARY,q,6,3,1,2,300,359.999999999999,0.00890039347872135,0.000512241397309545,0.0575526687144999,-2.45004708026225,0.994778514652571,19.765157527491,0.00937173209023113,0.00866472417296645,0.924559525340929,0.216444143858671,1,1,1,1,1
P04_Lq_plus10,ENGINEERING_PRIMARY,dq_positive,6,3,1,2,300,359.999999999999,0.0178277046460301,0.00102954905434217,0.0577499501356967,-0.392369670609502,0.992902671049245,19.6683897317741,0.0189106717625584,0.0172862210877659,0.914098732441184,0.251215056128325,1,1,1,1,1
P04_Lq_plus10,ENGINEERING_PRIMARY,dq_negative,6,3,1,2,300,359.999999999999,0.00857395816388756,0.0001250194633943,0.0145813008419923,-0.931872823022127,0.992597744749789,19.6683897317741,0.00865054456125138,0.00853566496520565,0.986719957890245,0.257741110050662,1,1,1,1,1
P04_Lq_plus10,ENGINEERING_PRIMARY,d,12,3,1,2,300,719.999999999998,0.00733900102351144,0.000240460681399864,0.0327647701137413,0.0966479693796771,0.972889726944939,12.8714752308727,0.00728428508214277,0.00736635899419577,1.01126725699605,0.494013496571784,1,1,1,1,1
P04_Lq_plus10,ENGINEERING_PRIMARY,q,12,3,1,2,300,719.999999999998,0.00847958381073791,0.000820292171198251,0.0967373151214679,-2.31101345674847,0.971701994213706,10.014185989063,0.00941769021320919,0.00801053060950227,0.850583362602728,0.49708083555145,1,1,1,1,1
P04_Lq_plus10,ENGINEERING_PRIMARY,dq_positive,12,3,1,2,300,719.999999999998,0.0144644026829315,0.000815589498036241,0.0563859784544484,-0.352951086889052,0.967946883251861,11.0353730605629,0.0152789719741611,0.0140571180373167,0.920030356825664,0.534125484689328,1,1,1,1,1
P04_Lq_plus10,ENGINEERING_PRIMARY,dq_negative,12,3,1,2,300,719.999999999998,0.00653376595651849,0.000474851553653429,0.0726765477694663,-1.40350484434681,0.989132454019381,11.0353730605629,0.00707533826983616,0.00626297979985965,0.885184504401749,0.309181578461512,1,1,1,1,1
P05_cross_mismatch,ENGINEERING_PRIMARY,d,6,4,2,2,400,479.999999999998,0.0152488781399006,3.59249492354399e-14,2.35590768749327e-12,0.534386810398182,1,26.5106488902664,0.0152488781398914,0.0152488781399097,1.0000000000012,2.71256534514761e-12,1,1,1,1,1
