case_id,condition_id,stage,range_class,Jd_limit_A2,Jq_limit_A2,single_vector_ratio,double_vector_ratio,three_vector_ratio,zero_vector_dwell_ratio,mode_change_L1_vs_default,average_switching_frequency_Hz,total_switching_actions
A_C12_028,C12,coarse_scan,stress_test_range,0.64,0.16,0.002,0.902,0.096,0.457877329972845,0.96,10186.6666666667,1528
A_C12_029,C12,coarse_scan,stress_test_range,0.64,0.64,0.018,0.868,0.114,0.457387112522617,0.924,9773.33333333333,1466
A_C12_030,C12,coarse_scan,stress_test_range,0.64,1,0.036,0.882,0.082,0.455616160259123,0.988,9120,1368
A_C12_031,C12,coarse_scan,stress_test_range,1,0,0.002,0.836,0.162,0.456220080354138,0.828,10480,1572
A_C12_032,C12,coarse_scan,stress_test_range,1,0.0225,0.002,0.856,0.142,0.452933983426254,0.868,10386.6666666667,1558
A_C12_033,C12,coarse_scan,stress_test_range,1,0.04,0.002,0.888,0.11,0.454541508128766,0.932,10133.3333333333,1520
A_C12_034,C12,coarse_scan,stress_test_range,1,0.16,0.002,0.976,0.022,0.456038367254211,1.108,9880,1482
A_C12_035,C12,coarse_scan,stress_test_range,1,0.64,0.03,0.946,0.024,0.448764102327124,1.104,9000,1350
A_C12_036,C12,coarse_scan,stress_test_range,1,1,0.058,0.912,0.03,0.451019104638472,1.092,8320,1248
B_C01_001,C01,focused_scan,reasonable_extension_range,0.01,0.01125,0.000644745325596389,0.393939393939394,0.60541586073501,0.8739749340822,1.20954223081883,11953.5783365571,5562
B_C01_002,C01,focused_scan,reasonable_extension_range,0.025,0,0.000644745325596389,0.430689877498388,0.568665377176016,0.873941709749185,1.13604126370084,11828.9275736084,5504
B_C01_003,C01,focused_scan,reasonable_extension_range,0.025,0.01125,0.000644745325596389,0.658284977433914,0.34107027724049,0.873990323657576,0.680851063829786,11055.2331828928,5144
B_C01_004,C01,focused_scan,reasonable_extension_range,0.1,0.1,0.268858800773694,0.722759509993553,0.00838168923275306,0.874370689090486,0.122501611863315,6933.16140124651,3226
B_C01_005,C01,focused_scan,reasonable_extension_range,0.1,0.16,0.295938104448743,0.702127659574468,0.00193423597678917,0.874641151018267,0.0683430045132168,6653.77176015474,3096
B_C01_006,C01,focused_scan,reasonable_extension_range,0.1,0.4,0.332688588007737,0.66602192134107,0.00128949065119278,0.875481701537507,0.00644745325596436,6198.15173006662,2884
B_C01_007,C01,focused_scan,reasonable_extension_range,0.16,0.1,0.343649258542876,0.655705996131528,0.000644745325596389,0.87440098295907,0.0270793036750489,6198.15173006662,2884
