cohort_type,cohort,predictor,causality_class,sample_count,true_violation_predicted_violation,true_safe_predicted_safe,false_safe_count,false_alarm_count,false_safe_rate,false_alarm_rate,violation_recall,safe_specificity,maximum_consecutive_false_safe
case,C08_S2_nontrigger,P2c,noncausal_future_endpoint_oracle,1198,8,1188,0,2,0,0.00166944908180301,1,0.998319327731092,0
case,C08_S2_nontrigger,P3a,causal_previous_period_oracle,1197,5,1186,2,4,0.00167084377610693,0.00334168755221387,0.714285714285714,0.996638655462185,1
case,C08_S2_nontrigger,P3b,offline_physical_parameter_oracle,1198,8,1188,0,2,0,0.00166944908180301,1,0.998319327731092,0
case,C08_S2_nontrigger,P3c,noncausal_future_endpoint_oracle,1198,8,1188,0,2,0,0.00166944908180301,1,0.998319327731092,0
case,C08_S2_nontrigger,P4,offline_physical_parameter_oracle,1198,8,1188,0,2,0,0.00166944908180301,1,0.998319327731092,0
case,C08_S2_nontrigger,P5,offline_plant_replay_oracle,1198,8,1190,0,0,0,0,1,1,0
case,C09_S2_boundary,P0,causal_original,1198,0,1170,28,0,0.0233722871452421,0,0,1,1
case,C09_S2_boundary,P1,causal_original,1198,0,1170,28,0,0.0233722871452421,0,0,1,1
case,C09_S2_boundary,P2a,causal_previous_period_oracle,1197,5,1169,23,0,0.0192147034252297,0,0.178571428571429,1,1
case,C09_S2_boundary,P2b,offline_physical_parameter_oracle,1198,5,1170,23,0,0.0191986644407346,0,0.178571428571429,1,1
case,C09_S2_boundary,P2c,noncausal_future_endpoint_oracle,1198,5,1170,23,0,0.0191986644407346,0,0.178571428571429,1,1
case,C09_S2_boundary,P3a,causal_previous_period_oracle,1197,5,1169,23,0,0.0192147034252297,0,0.178571428571429,1,1
case,C09_S2_boundary,P3b,offline_physical_parameter_oracle,1198,5,1170,23,0,0.0191986644407346,0,0.178571428571429,1,1
case,C09_S2_boundary,P3c,noncausal_future_endpoint_oracle,1198,5,1170,23,0,0.0191986644407346,0,0.178571428571429,1,1
case,C09_S2_boundary,P4,offline_physical_parameter_oracle,1198,5,1170,23,0,0.0191986644407346,0,0.178571428571429,1,1
case,C09_S2_boundary,P5,offline_plant_replay_oracle,1198,28,1170,0,0,0,0,1,1,0
case,D01_iq_step,P0,causal_original,451,1,435,15,0,0.0332594235033259,0,0.0625,1,1
case,D01_iq_step,P1,causal_original,451,1,435,15,0,0.0332594235033259,0,0.0625,1,1
case,D01_iq_step,P2a,causal_previous_period_oracle,450,6,434,10,0,0.0222222222222222,0,0.375,1,1
case,D01_iq_step,P2b,offline_physical_parameter_oracle,451,6,435,10,0,0.0221729490022173,0,0.375,1,1
